#{"t_start": 1776778095.5306222, "env_id": "None"}
r,l,t,is_success
62.935116,39,3393.288721,True
75.333817,181,3401.955752,True
63.639927,103,3406.887804,True
67.297078,80,3410.724586,True
60.817374,96,3415.317693,True
58.181407,26,3416.555762,True
58.620444,43,3418.617428,True
74.275796,118,3432.952298,True
69.080747,124,3438.897779,True
65.356886,64,3441.929266,True
61.210014,30,3443.352876,True
55.490576,20,3444.316337,True
64.931428,115,3449.828049,True
66.931652,80,3453.644989,True
65.212095,78,3457.329125,True
55.206837,20,3458.295569,True
76.784431,142,3465.09217,True
56.564539,25,3466.295615,True
68.213936,72,3469.893857,True
68.219658,134,3476.268909,True
63.910843,55,3478.91694,True
63.109649,36,3480.626401,True
57.808062,20,3481.587325,True
56.917156,22,3482.658943,True
64.045467,63,3485.687172,True
66.793727,133,3491.99032,True
70.375228,169,3499.981233,True
59.393812,113,3505.352673,True
50.57746,2,3505.459705,True
69.686465,88,3509.643481,True
65.95066,137,3516.189974,True
62.334573,37,3517.951352,True
71.788588,172,3526.250253,True
60.965007,41,3538.020555,True
63.88661,83,3542.00547,True
67.776094,70,3545.336123,True
60.698864,24,3546.48679,True
63.374071,50,3548.861143,True
66.445646,79,3552.68542,True
59.96927,42,3554.68598,True
62.374801,35,3556.358906,True
63.129937,43,3558.441915,True
64.399152,53,3560.992689,True
60.170736,174,3569.336895,True
55.155644,16,3570.106428,True
63.432238,110,3575.326986,True
60.778993,26,3576.568887,True
59.884295,86,3580.753623,True
5.562254,99,3585.48018,False
58.583212,63,3588.487302,True
64.205357,62,3591.444818,True
58.774703,23,3592.566602,True
56.383759,20,3593.51838,True
63.877546,121,3599.325207,True
70.34821,103,3604.244818,True
59.635979,27,3605.539681,True
64.029961,104,3610.459285,True
57.050432,32,3611.987072,True
60.298729,78,3615.734707,True
61.41288,43,3617.829963,True
59.317003,26,3619.081281,True
71.60422,137,3625.596197,True
61.596826,86,3629.743067,True
60.762484,44,3631.840745,True
67.423091,65,3635.044373,True
60.932092,49,3645.676978,True
73.397554,125,3651.662936,True
57.385771,21,3652.683473,True
64.050805,44,3654.802376,True
54.325313,66,3657.966465,True
64.257201,44,3660.070905,True
66.240428,77,3663.754544,True
62.820132,33,3665.357565,True
56.473729,82,3669.249412,True
63.941268,107,3674.383973,True
65.303365,60,3677.230739,True
65.35045,64,3680.271991,True
66.996686,64,3683.480147,True
65.648256,66,3686.643557,True
60.650148,90,3690.956567,True
65.640864,62,3693.911773,True
59.585053,22,3694.961253,True
65.703456,55,3697.586653,True
73.267409,129,3703.818063,True
59.970659,29,3705.21221,True
65.464377,57,3708.058545,True
58.046066,36,3709.788605,True
65.673993,63,3712.781487,True
64.288395,47,3715.054881,True
64.665701,104,3719.982349,True
61.854751,39,3721.836139,True
59.259036,116,3727.359969,True
65.514585,72,3730.805527,True
66.551831,57,3733.541744,True
68.508188,68,3736.785878,True
63.114281,50,3739.195741,True
56.041654,21,3740.205712,True
61.49479,26,3741.453217,True
62.936089,48,3751.099793,True
61.688077,33,3752.69514,True
60.412929,115,3758.198789,True
55.680989,20,3759.172313,True
62.802884,57,3761.979,True
66.69865,57,3764.710738,True
61.910635,32,3766.246717,True
61.149605,68,3769.502882,True
62.406889,34,3771.137875,True
58.116816,21,3772.161646,True
68.430509,72,3775.576578,True
68.483482,100,3780.408948,True
60.744303,27,3781.724007,True
66.227959,63,3784.745601,True
61.56543,31,3786.317258,True
56.206887,48,3788.628452,True
62.317246,70,3791.972738,True
54.831533,17,3792.794153,True
65.968133,97,3797.406408,True
54.58082,13,3798.038022,True
60.505688,27,3799.322699,True
64.893157,114,3804.941941,True
56.895814,20,3805.93255,True
69.111825,54,3808.544643,True
65.474617,151,3815.952607,True
65.523317,105,3820.976176,True
69.703725,92,3825.379825,True
63.281371,32,3826.953971,True
57.544502,18,3827.827747,True
58.22974,27,3829.125239,True
64.116093,58,3831.89695,True
60.077427,29,3833.290878,True
55.920621,15,3834.009579,True
64.328173,47,3836.269099,True
56.573547,20,3837.232892,True
58.855283,37,3839.017246,True
55.345138,15,3839.747802,True
62.720903,41,3841.70928,True
53.625182,17,3842.532408,True
63.666326,65,3845.641297,True
23.037668,600,3881.705031,False
20.712334,600,3910.360723,False
62.593273,29,3911.750705,True
16.44568,600,3940.213079,False
19.496945,600,3974.989693,False
57.427481,17,3975.814938,True
-1.364779,35,3977.495461,False
