#{"t_start": 1773982596.0599632, "env_id": "None"}
r,l,t
60.757787,24,2023.893754
58.951568,21,2027.443574
59.822648,22,2031.150914
59.504796,20,2034.513336
56.655682,13,2036.713145
62.204715,26,2041.098807
54.855299,12,2043.127172
64.572601,68,2054.482037
55.666574,13,2056.683264
64.944737,36,2062.691266
56.152372,14,2065.057973
56.063823,15,2067.64941
62.172408,25,2071.981022
61.310717,55,2081.477617
56.115513,13,2083.737934
63.318005,31,2089.072546
57.927716,15,2091.677051
64.461571,30,2096.885441
61.280557,24,2101.055277
63.632756,29,2115.83447
60.717933,21,2119.473069
54.014112,8,2120.86937
55.416429,43,2128.294642
60.97924,22,2132.104345
57.274856,18,2135.23339
60.599592,34,2141.097794
61.696431,23,2145.084801
60.356381,21,2148.736279
54.840427,10,2150.492759
63.680963,29,2155.513662
63.03335,27,2160.195551
62.550882,35,2166.22717
61.406674,24,2170.402867
62.509852,48,2178.451661
56.98734,15,2181.062604
59.358332,21,2184.634397
59.11618,63,2195.414589
62.089493,29,2200.318826
60.696935,24,2204.124339
58.471998,20,2207.5065
61.366815,61,2217.674034
54.688607,67,2228.86276
59.33447,19,2232.066633
59.83879,33,2237.576045
54.425661,11,2239.463292
62.900882,46,2247.171074
58.476964,21,2250.703166
63.040249,28,2255.431834
60.126554,23,2259.302558
60.565094,22,2263.046601
59.559864,20,2266.438321
55.110406,12,2268.478619
59.857239,19,2271.683923
57.70825,18,2274.744667
52.596997,29,2279.635857
63.612931,28,2284.440209
58.786898,48,2292.751975
59.840769,23,2296.713673
56.483762,13,2298.923181
58.036232,17,2301.783706
55.627927,11,2303.637728
60.16897,22,2307.139503
56.297195,12,2309.159069
49.741265,1,2309.355645
66.830204,52,2318.029209
59.861872,22,2321.651231
55.479384,12,2323.681184
55.971863,13,2325.867332
67.948991,39,2332.329663
53.975355,62,2342.642831
60.752455,22,2346.324374
58.111143,17,2349.187942
57.603187,15,2351.70577
64.140753,71,2363.554365
53.686751,7,2364.747209
60.599532,73,2376.889764
54.205543,9,2378.414981
58.475495,20,2381.78537
64.556697,63,2392.320465
57.339364,70,2404.009007
59.723641,19,2407.191976
64.30738,70,2418.919848
56.325742,15,2421.485735
59.490773,18,2424.521572
53.811496,39,2431.050903
62.74157,78,2444.069402
58.730582,22,2447.774189
60.599106,22,2451.461013
57.665548,20,2454.818204
57.87125,17,2457.701746
61.785015,24,2469.847153
62.850696,38,2476.199799
65.600382,74,2488.583745
56.480117,63,2499.115489
59.362687,21,2502.693791
58.4699,18,2505.759419
62.692923,28,2510.472335
64.893243,31,2515.652939
61.710136,25,2519.690015
60.563536,41,2526.542038
59.116177,18,2529.579913
59.447723,22,2533.266531
61.402741,25,2537.441284
63.621123,28,2542.170745
62.840761,28,2546.758141
59.827724,20,2550.119656
60.510131,23,2553.787787
63.472325,68,2565.193952
60.279021,21,2568.711817
63.705967,30,2573.623782
59.010481,19,2576.81038
67.288277,37,2582.951924
66.826813,86,2597.36711
59.568311,21,2600.900804
63.174121,34,2606.580097
56.120308,16,2609.262727
53.142015,7,2610.456171
60.827612,22,2614.159105
56.718065,17,2617.009055
59.09306,18,2620.038059
60.356472,48,2628.099909
57.611939,19,2631.369147
57.948564,15,2633.973417
63.768794,59,2644.166784
58.573105,17,2647.11758
54.650761,10,2648.867136
57.746976,18,2651.969195
58.393124,16,2654.750157
59.052919,67,2666.308184
52.364739,59,2676.41614
62.427709,25,2680.738432
60.803983,69,2692.608161
63.697401,29,2697.620833
61.193739,22,2701.42156
61.618865,22,2705.210809
59.519937,22,2709.02575
58.583188,17,2711.965158
66.594342,69,2723.854765
56.681302,14,2726.284763
54.36201,11,2728.196689
61.331644,23,2732.144698
61.114644,62,2742.825856
59.286916,19,2746.098898
58.305639,20,2749.540172
59.479652,18,2752.65355
60.446293,24,2756.762152
54.819086,11,2758.673625
57.350999,15,2761.270957
60.769333,65,2772.448659
59.62336,23,2776.400864
51.606814,40,2783.256999
54.447648,10,2785.007483
61.655494,69,2796.874126
59.744273,21,2800.317826
53.022392,6,2801.384314
60.687103,23,2805.360274
61.995096,63,2825.237261
61.759694,26,2829.703306
55.443288,28,2834.533422
57.805614,19,2837.827541
62.513889,25,2842.193951
61.350047,24,2846.353707
57.97068,17,2849.288778
61.847911,26,2853.813775
60.194891,20,2857.287645
58.179005,21,2860.902032
66.110573,35,2866.899426
60.42088,50,2875.525714
60.843713,24,2879.666232
58.612311,18,2882.79782
59.076032,18,2885.914942
59.984781,22,2889.748343
62.475345,34,2895.598722
63.046041,50,2904.210605
57.123651,32,2909.734198
63.572394,28,2914.589794
61.141766,24,2918.76205
60.394449,21,2922.412068
61.577399,24,2926.570808
61.366475,23,2930.557806
56.321459,15,2933.155559
55.270705,11,2935.069221
59.721742,23,2939.063132
58.606266,17,2942.023983
57.568318,19,2945.296724
60.723532,21,2948.921303
60.306032,22,2952.742824
61.714507,24,2956.909012
62.574196,26,2961.402958
58.847254,20,2964.855492
60.452616,24,2969.017203
63.583128,53,2978.143418
55.833748,38,2984.685234
63.289218,28,2989.58336
57.676171,20,2993.039599
61.641618,24,2997.20406
66.829555,84,3011.683615
57.373447,16,3014.463167
62.108076,25,3018.807789
63.573169,80,3032.603198
55.350994,14,3035.027303
56.632767,63,3045.910277
63.080568,60,3056.271883
68.120434,39,3062.940595
56.426711,14,3065.380376
55.658702,62,3076.097094
60.260556,20,3079.563303
55.149713,59,3089.745006
50.213908,1,3089.945466
63.524608,29,3094.936604
54.045994,9,3096.516656
58.651555,19,3099.820564
59.478827,22,3103.60322
63.345805,28,3108.464265
61.829085,25,3112.813348
50.920609,2,3113.188506
56.706601,14,3115.623876
59.832544,22,3119.328991
58.003136,18,3122.440137
58.110121,18,3125.582924
60.779012,22,3129.403866
57.33574,14,3131.840711
58.893084,21,3135.494429
61.987705,24,3139.630416
59.136266,18,3142.769912
60.736653,22,3146.596336
60.396825,22,3150.410245
56.378245,63,3161.298519
59.470522,21,3164.816346
55.360784,66,3176.220526
52.905594,6,3177.280015
58.245883,17,3187.650388
59.391118,49,3196.110669
58.384205,20,3199.585365
63.103848,27,3204.253546
61.067194,23,3208.241918
54.895935,10,3209.993975
61.953548,48,3218.276233
57.74901,18,3221.38677
57.969478,19,3224.704799
57.459777,18,3227.854799
59.462602,59,3238.035264
57.085977,17,3240.980928
57.976647,63,3251.84627
62.051616,24,3255.987191
60.430218,21,3259.63116
50.442345,1,3259.831642
59.070236,45,3267.610637
58.773595,52,3276.602879
62.716846,27,3281.293541
53.039551,6,3282.351822
59.690672,19,3285.659193
56.92937,17,3288.627718
53.70944,7,3289.854302
55.678331,12,3291.952103
57.476374,18,3295.090075
60.253674,23,3299.063318
55.571947,15,3301.659468
57.411366,16,3304.445179
58.421553,20,3307.926003
61.901729,62,3318.771791
63.42175,29,3323.673389
52.420984,5,3324.569569
61.437318,24,3328.742681
62.713416,27,3333.427022
61.161701,22,3337.231103
53.158222,6,3338.292258
58.191289,19,3341.572577
62.533868,26,3346.096256
60.753272,23,3349.887362
57.04349,56,3359.590254
61.011628,24,3363.775378
59.941626,19,3367.066748
55.046894,12,3369.161235
51.951651,27,3373.83702
58.950803,19,3377.146795
61.945213,23,3381.120528
61.570371,24,3385.292557
58.29699,17,3388.25011
56.645065,17,3391.220793
63.499828,28,3396.081072
61.000884,51,3404.881916
54.518322,10,3406.620797
56.342111,75,3419.601861
60.592554,22,3423.426624
60.084305,22,3427.273333
56.300555,15,3429.876021
52.888811,30,3435.064979
63.658174,28,3439.895968
55.010865,69,3451.823001
60.972419,29,3456.827466
62.37978,27,3461.528052
59.887171,58,3471.537258
59.992404,23,3475.516034
56.980237,17,3478.457824
59.959169,56,3488.119086
58.984991,20,3491.601626
60.192256,22,3495.409985
61.372442,23,3499.382741
64.931134,46,3507.293543
63.696799,29,3512.320074
52.569052,5,3513.210719
60.38382,24,3517.379114
57.014936,14,3519.81733
60.225996,22,3523.433372
54.528854,9,3524.995857
59.852711,66,3536.355309
60.903929,24,3540.487243
62.02801,66,3559.922031
60.860093,24,3563.890813
62.659167,27,3568.58039
56.796366,14,3571.013613
57.270131,17,3573.968397
60.448879,22,3577.769874
61.382229,24,3581.942938
56.263941,17,3584.913953
59.459899,22,3588.69495
58.094619,18,3591.796143
64.20805,30,3596.999696
61.09217,24,3601.16901
58.199138,20,3604.659954
57.29824,15,3607.270318
57.61935,15,3609.87879
62.900884,25,3614.19755
59.989997,20,3617.677896
59.973706,24,3621.828013
56.85112,14,3624.267811
54.285601,11,3626.183072
57.252598,15,3628.80083
66.631695,52,3637.764641
55.569835,13,3640.039648
58.088657,25,3644.362648
55.643623,58,3654.390605
62.786519,28,3659.266513
57.112194,16,3662.054035
58.620905,18,3665.178076
55.748553,11,3667.099482
59.581149,21,3670.686394
64.831446,31,3676.02208
63.530124,83,3690.36869
57.557054,17,3693.304409
60.342993,22,3697.130061
53.981665,11,3699.04314
52.977146,35,3705.070502
56.820417,18,3708.179899
63.039907,27,3712.869107
58.294697,20,3716.333551
58.537283,21,3719.965539
51.331912,35,3726.011436
57.601402,20,3729.463695
57.419991,14,3731.910794
51.616685,43,3739.339302
64.996844,31,3744.682759
58.608595,19,3747.971741
61.102108,61,3758.548538
58.439883,19,3761.869514
61.820646,26,3766.434128
64.225413,30,3771.703607
59.133834,18,3774.875246
57.025229,14,3777.329979
62.514345,25,3781.693113
60.490834,22,3785.551771
53.919922,9,3787.140087
63.719749,29,3792.232785
57.211194,17,3795.23973
54.561544,10,3797.011849
56.161065,16,3799.808627
59.480509,21,3803.509294
58.294703,17,3806.496175
58.421796,17,3809.4845
59.719082,22,3813.321484
54.938598,11,3815.271199
57.995708,19,3818.593549
62.141232,26,3823.164067
